Complexity,Loss,Equation
1,2.8399198,"-0.030201077"
3,2.6577907,"-0.080714665 / x2"
4,2.4461672,"-9.075636e-6 / cube(x2)"
5,1.5390676,"(0.001336975 / x2) / x0"
6,1.350823,"x0 * (0.0028175134 / cube(x2))"
7,1.191013,"((0.31057432 / x2) * x0) / x2"
8,0.6748469,"(x0 * (x4 * 0.000632111)) / cube(x2)"
9,0.32160518,"(x0 / x2) * ((0.075742565 * x4) / x2)"
10,0.32160512,"((x2 * x4) * x0) / (cube(x2) / 0.07574258)"
11,0.14354429,"(((x4 + 2.0892942) / x2) * 0.060805928) * (x0 / x2)"
12,0.14354427,"(((x4 - -2.0890987) * x2) * x0) / (cube(x2) / 0.060807772)"
13,0.12715256,"((((x0 / x2) - -0.0694458) / x2) * (x4 + 1.6151894)) * 0.069177315"
15,0.108661145,"(((x0 / x2) - -0.0754963) * (x4 + 1.6524874)) * ((0.070627205 / x2) - 0.05130067)"
17,0.081018396,"(x4 + 1.3172207) * ((x0 / (x2 - (-0.6153453 / (-1.969666 / x1)))) * (0.072475664 / x2))"
19,0.06291599,"((x0 / (x2 - (-0.61291075 / (-1.9703841 / x1)))) * ((0.07243377 / x2) + -0.06973935)) * (x4 + 1.3187618)"
21,0.053611036,"((x0 / (x2 - (-0.8395797 / (-1.9636091 / x1)))) - 0.055295285) * ((x4 + 1.4660002) * ((0.0692729 / x2) - 0.0544279))"
22,0.05097049,"((x0 * x2) * (x4 / cube(x2 + x2))) / ((0.007875442 / x2) - (((x2 / 0.0065450096) + x4) * -0.05631814))"
24,0.045663524,"x0 * ((x2 / cube(x2 + x2)) * ((x4 / ((0.007875442 / x2) - (((x2 / 0.0065450096) + x4) * -0.056318514))) + 0.1289623))"
26,0.038170148,"((x4 - (x3 * -0.040758148)) / ((0.007875442 / x2) - (((x2 / 0.0065450096) + x4) * -0.056318514))) * ((x0 * x2) / cube(x2 + x2))"
28,0.03253768,"(x0 * (x2 / cube(x2 + x2))) * ((x4 - (x3 * -0.062243093)) / ((0.0057969834 / x2) + (0.2520102 - (((x2 / 0.006840599) + x4) * -0.04869919))))"
30,0.03170432,"(((x0 * x2) / cube(x2 + x2)) * ((x4 - (x3 * -0.04869403)) + 0.16702947)) / (((0.005329248 / x2) + 0.35070258) - ((x4 + (x2 / 0.006810165)) * -0.04869403))"
