Complexity,Loss,Equation
1,1.8665936,"-0.015484057"
3,1.8245635,"0.036940966 / x2"
5,1.457876,"(0.010165714 / x2) ^ 7.801319"
7,0.6952554,"((x0 * 0.2542749) / x2) / x2"
9,0.1817271,"(x0 * (x4 / x2)) / (x2 * 8.756911)"
11,0.10126005,"(x4 * (x0 / ((3433.6104 ^ x2) - 1.0047518))) / x2"
13,0.04418754,"((x4 / x2) ^ 0.6663584) * ((x0 / x2) / (16960.621 ^ x2))"
15,0.04136815,"(x0 * ((0.73137873 / x2) * ((x4 / x2) ^ 0.7209562))) / (11715.899 ^ x2)"
17,0.034099806,"x0 * (((((x3 + (0.480666 / x2)) * x4) ^ 0.7524824) / (13312.18 ^ x2)) / x2)"
19,0.031707373,"(x0 * (((x4 * ((0.4529553 / x2) + x3)) ^ 0.7679023) / x2)) / (12598.566 ^ (x2 * 1.1753404))"
21,0.030324189,"((x0 * ((((0.2977897 / x2) + x3) * x4) ^ 0.75087214)) / ((10565.99 ^ (x2 * 1.3363649)) / 1.4809513)) / x2"
25,0.026968883,"((x0 / x2) / ((8765.519 ^ (x2 * 1.223319)) - (x1 / (x4 + -0.5128874)))) * ((((0.4277606 / x2) + x3) * x4) ^ 0.7762428)"
27,0.026858088,"x0 * ((((x4 * ((0.39611334 / x2) + x3)) ^ 0.7881167) / x2) / ((8765.519 ^ (1.2602792 * x2)) - (x1 / ((x4 + -0.48211387) * 0.3693761))))"
29,0.026816161,"x0 * (((x1 + ((x4 * (x3 + (0.39614362 / x2))) ^ 0.7880727)) / x2) / ((8765.519 ^ (x2 * 1.2603394)) - (x1 / ((x4 + -0.48261148) * 0.36936608))))"
