Complexity,Loss,Equation
1,0.17947245,"-0.05498994"
5,0.11136023,"(0.00020371866 / x0) / x2"
7,0.0757306,"(x1 / x2) * (0.099478036 / x2)"
8,0.025447503,"(x1 * 0.056727115) / cube(x2 + 0.0246398)"
10,0.02260709,"((0.056727115 / cube(0.0246398 + x2)) * x1) - 0.05501546"
12,0.0167285,"x1 * cube(-0.40090597 / (((0.026210373 + x2) * x3) * x4))"
14,0.013799785,"((x3 * cube(-0.40090597 / (x2 + 0.026210396))) * (x1 * x4)) + -0.05478215"
16,0.009910945,"(((x1 * x3) - (-0.21644832 * x0)) * -0.06781052) / (x4 * cube(x2 + 0.027105624))"
17,0.009910944,"-0.06781052 * (((cube(x3) * x1) - (-0.21644832 * x0)) / (x4 * cube(0.027105624 + x2)))"
18,0.0089305695,"((((x3 * x1) - (x0 * -0.24713044)) * -0.07749912) / cube((x2 + 0.030048542) / x4)) + -0.05193923"
20,0.0063375067,"((-0.06489342 / (x4 * cube(x2 + 0.027545433))) * ((x3 * x1) - ((x0 * -0.27302888) + 0.0007495064))) + -0.045268454"
21,0.0062027555,"(((x1 * x3) - ((x0 * -0.27302897) + 0.00093373784)) * (-0.06495839 / cube(x4 * (0.027618999 + x2)))) + cube(-0.36274824)"
22,0.005794698,"((((x3 * (x1 - -0.0012526383)) - ((0.0017328439 - x0) * 0.34056765)) * -0.06296263) / cube((x2 + 0.026125822) / x4)) + -0.053191643"
24,0.005791707,"((((x1 - -0.0012526383) * x3) - ((0.0012822064 - x0) * 0.34056765)) * (-0.06296263 / cube((x2 + 0.026125822) / x4))) + (-0.055431593 * 1.0421109)"
26,0.0057714866,"((((x3 * (x1 - -0.00084676425)) - (((x4 * x0) * -0.032708332) - (x0 * 0.34053564))) * -0.0646683) / cube((x2 + 0.025898147) * x4)) + -0.053159088"
28,0.0055731926,"(((((x3 * (x1 - -0.0008032174)) - ((x0 * (x4 * -0.032708008)) - (x0 * 0.34053645))) * -0.06469786) / cube((x2 + 0.025573667) * x4)) + -0.05538964) / 1.041959"
