Complexity,Loss,Equation
1,0.18015862,"0.0060135596"
3,0.17628811,"0.03834915 / x2"
4,0.17347376,"cube(0.04405188 / x2)"
5,0.15052412,"(x4 * -0.10567352) / x2"
6,0.14871117,"(-0.0093638655 / cube(x2)) * x0"
7,0.1274365,"((x0 / x2) / x2) * -0.20306887"
8,0.09433007,"(x0 - x1) * (-0.013099441 / cube(x2))"
9,0.086920395,"cube((x0 * -0.20997208) / cube(x2 + 0.12757924))"
10,0.05089851,"((x0 - x1) / cube(x2 + 0.028132357)) * -0.06434161"
11,0.04068196,"((x0 - x1) / cube(cube(x2 + 0.27965268))) * -0.0063613774"
13,0.037869953,"((x0 - (x1 * 0.80327636)) / cube(cube(x2 + 0.28569272))) * -0.008124399"
15,0.03718592,"(-0.012692434 * (x0 + (x1 * (x2 - 0.87658596)))) / cube(cube(x2 + 0.30355737))"
17,0.036057275,"-0.0092869075 * ((x0 - (x1 * 0.7967774)) / ((cube(cube(x2 + 0.29074088)) + x4) + x3))"
19,0.035370283,"(((x1 * (x2 - 0.87658596)) + x0) * -0.012692434) / (x4 + (cube(cube(x2 + 0.30355737)) + x3))"
21,0.0348409,"((0.8935467 - x0) * (-0.010333833 / (x3 + (x4 + cube(cube(0.29026738 + x2)))))) * (x0 - (x1 * 0.78354675))"
23,0.0343349,"(-0.003418637 / ((cube(cube(x2 + 0.26197195)) + x3) + x4)) * ((x0 - x1) + ((x0 / 0.25490642) * (x2 + x1)))"
25,0.03376378,"(((((x0 / 0.3264978) * (x1 + x2)) + (x0 - x1)) - 0.005130697) * -0.006613174) / ((x4 + cube(cube(x2 + 0.2868675))) + x3)"
27,0.03237175,"((x0 - x1) + (((x2 * x4) + (x0 / 0.26197195)) * (x2 + x1))) * (-0.003418637 / ((x3 + cube(cube(x2 + 0.26197195))) + x4))"
30,0.032141294,"(x0 - ((x1 - cube(x0 * 2.7075229)) * (((x0 - x1) * (x4 - x3)) - -0.8426326))) * (cube(-0.33847123 / cube(x2 + 0.26795435)) / (8.642316 - x3))"
