Complexity,Loss,Equation
1,28.517117,"-0.07437997"
3,24.728088,"-0.5489793 / x2"
5,22.815174,"(-0.003304561 / x1) / x2"
7,13.731599,"x0 / (x2 * (0.0090154065 - x2))"
9,8.247813,"(-0.015557011 - (x0 * x4)) / (x2 ^ 1.7453943)"
11,0.6372301,"((x1 / -1.2792373) - x0) * (x4 / (x2 ^ 1.763054))"
13,0.20370528,"((x1 / -1.2062131) - x0) * ((x4 * 0.7494708) / (x2 ^ 1.835687))"
15,0.0036173654,"(x4 / (x2 / 0.59481066)) * (((x1 * -0.9053964) - x0) / (x2 - -0.009703599))"
17,0.0032853126,"((((x1 * -0.9053964) - x0) / (x2 - -0.009703599)) * (x4 / (x2 / 0.59481066))) - -0.017883502"
19,0.0020664362,"(x4 / (x2 - -0.0097681945)) * ((((x1 * -0.899178) - x0) / (x2 / 0.60353106)) / (1.001051 ^ x4))"
21,0.0017073143,"((x4 * ((((x1 * -0.899178) - x0) / (x2 / 0.60353106)) / (x2 - -0.0097681945))) / (1.001051 ^ x4)) - -0.019152245"
23,0.001677261,"((x4 * ((((x1 * -0.899178) - x0) / (x2 / 0.60353106)) / (x2 - -0.0097681945))) / (1.001051 ^ (x4 + x3))) - -0.019152245"
25,0.0015688931,"(x4 * (((((x1 * -0.899178) - x0) / (x2 / 0.60353106)) / (x2 - -0.0097681945)) / (1.001051 ^ ((x4 + x3) + -1.967794)))) - -0.019536389"
27,0.0015161862,"(x4 * (((((x1 * -0.899178) - x0) / (x2 / 0.60353106)) / (x2 - -0.0097681945)) / (1.001051 ^ ((x3 + x4) / (1.0399927 + x2))))) - -0.019536389"
29,0.0014894126,"(((((x1 * -0.899178) - x0) / (x2 / 0.60353106)) / (x2 - -0.0097681945)) * (x4 / (1.001051 ^ ((x4 + x3) / ((x2 ^ x3) + 1.0399927))))) - -0.019536389"
