Complexity,Loss,Equation
1,0.0015925557,"0.00033158064"
3,0.0015839121,"0.0010479381 / x2"
5,0.0013996604,"x0 * (0.002433416 ^ x2)"
7,0.0007074801,"x0 * (x4 * (0.0002500962 ^ x2))"
9,0.00027098932,"(x0 * x4) * (0.006285 / (x2 ^ 1.8433281))"
11,0.00017795668,"((x1 + (x4 * x0)) * 0.006718051) / (x2 ^ 1.8153476)"
13,8.282234e-5,"(0.0050006257 * ((x1 + x0) * x4)) / (0.000354408 + (x2 * x2))"
15,5.122531e-6,"((x0 * 0.005436566) + (x1 * 0.0034045083)) * (x4 / ((x2 * x2) + 0.00027665994))"
17,4.903374e-6,"(((x0 * 0.005652527) + (x1 * 0.0034953335)) / ((x2 * (x2 + 0.005652527)) + 0.00021141)) * x4"
19,9.881409e-7,"(x4 * ((x0 * 0.0056389) + (x1 * 0.003518264))) / ((0.0002195446 / x3) + (x2 * (x2 + 0.005987355)))"
21,9.777389e-7,"x4 * (((x1 * 0.0035234822) + (x0 * 0.005652524)) / (((x2 + 0.005986526) * x2) + (0.00022205983 / (x3 + x2))))"
23,9.1414785e-7,"(x4 * ((x1 * 0.0035234825) + (x0 * 0.005652527))) / ((x2 * (((x0 * -0.00969649) + x2) + 0.005986525)) + (0.00022003264 / x3))"
25,8.5207915e-7,"((x1 * 0.0035234825) + (x0 * 0.005652527)) * (x4 / ((0.00022003264 / x3) + (x2 * ((((x0 / x1) * -6.830811e-5) + x2) + 0.005986525))))"
29,8.4617045e-7,"(((x0 * 0.005652527) + (x1 * 0.0035234825)) * x4) / ((x2 * (x2 + (((((x4 / x3) / x3) - x4) * -6.830811e-5) + 0.005986525))) + (0.00022003264 / x3))"
