Complexity,Loss,Equation
1,0.82170105,"-0.005747629"
3,0.8206627,"x0 * -0.022759639"
5,0.7651251,"-0.0002826877 / (x2 * x0)"
6,0.7336871,"(x0 * -0.0005575529) / cube(x2)"
7,0.53851444,"x0 * ((-0.12532003 / x2) / x2)"
8,0.25774556,"cube(-0.54502535 / (x2 - -0.046017963)) * x0"
10,0.25774243,"x0 * (-1.2889068 / cube(x2 + (x2 + 0.091711104)))"
12,0.19608481,"((x0 * -1.7641467) - x1) / cube(x2 + (x2 + 0.120075464))"
13,0.19567929,"((x0 * -2.108453) - x1) / cube(x2 + cube(x2 + 0.5133738))"
14,0.18055908,"(((x1 * -0.42777988) - x0) * 39.79616) / cube((x2 / 0.16352466) + 0.30474237)"
16,0.15496291,"((35.915718 + x4) * ((x1 * -0.42283702) - x0)) / cube((x2 / 0.16924053) + 0.2946181)"
18,0.111301474,"((x1 * -0.4276016) - x0) * ((1.9387423 / x2) / cube(((x2 / x4) + x2) - -0.54380023))"
19,0.105334595,"(-4435.157 * ((x1 - (-2.3395622 * x0)) / x2)) / cube(cube((x2 / x4) + (x2 - -2.1360009)))"
21,0.10475973,"(-3767.148 / x2) * (((x1 - (x0 * -2.3465576)) / cube(cube((x2 / x4) + (x2 - -2.0949254)))) + -1.3315257e-6)"
23,0.089722045,"(((x1 - (x0 * -2.2966006)) / x2) * -7467.8984) / (cube(cube((x2 / x4) + (x2 - -2.2853892))) + (x4 / -0.021875318))"
25,0.08967819,"(x1 - (x0 * -2.2853892)) * ((-7467.8984 / x2) / ((cube(cube((x2 - -2.2853892) + (x2 / x4))) + -12.628085) + (x4 / -0.021875318)))"
26,0.08880127,"(((-4435.157 - cube(x4 / 1.4509325)) * (x1 - (-2.2929435 * x0))) / x2) / (-1.3950279 + cube(cube(((x2 / x4) + x2) - -2.1395788)))"
27,0.0860304,"((-7467.8984 / x2) * (x1 - (x0 * -2.2930844))) / (((3.123559 / x2) + cube(cube(((x2 / x4) + x2) - -2.2721255))) + (x4 / -0.02284716))"
29,0.08434325,"((x1 - (x0 * -2.2721255)) * (-7467.8984 / x2)) / ((cube(cube(((x2 / x4) + x2) - -2.2721255)) + ((0.024480633 / x2) / x2)) + (x4 / -0.02284716))"
30,0.08414367,"(((x1 - (x0 * -2.2721255)) / x2) * -7467.8984) / ((cube((0.024480633 / x2) / 0.41704634) + cube(cube(((x2 / x4) + x2) - -2.2721255))) + (x4 / -0.02284716))"
