Complexity,Loss,Equation
1,10.8931675,"1.117213"
3,6.491788,"0.48048866 / x2"
5,3.3661797,"(x4 * 0.19298819) / x2"
6,2.9339812,"x4 / cube(x2 - -0.51462305)"
7,1.7785238,"x4 / ((x2 * 2.7607467) + 0.039701715)"
8,1.717109,"x4 / (cube(x2 - -0.8602718) - 0.5900262)"
9,1.0189031,"(x4 + 1.5913872) / ((x2 * 3.2981777) + 0.059299204)"
10,0.99655616,"(x4 + 2.1366434) / cube((x2 * 2.4739246) + 0.4653526)"
11,0.9319586,"(x4 + 1.6242038) / (((x2 + 3.0042055) * x2) - -0.064210415)"
12,0.67639583,"((x4 + 1.8785545) / cube((x2 * 2.744827) + 0.45017532)) + 0.6033679"
14,0.6570568,"((x4 + 1.7370111) / (cube((x2 * 2.2638528) + 0.54009783) + -0.074856274)) + 0.57691574"
16,0.29686016,"((x4 / ((x4 * 0.035372682) + cube((x2 + 0.12097147) * 3.8882635))) * 4.1401405) + 0.6335218"
18,0.22200352,"((x4 * 2.9936697) / (x0 + (cube((x2 + 0.11576029) * 3.5977821) + (x4 * 0.027486544)))) - -0.64617664"
20,0.19376543,"((2.7366307 / ((x0 + cube((x2 + 0.1318891) * 3.388565)) + (x4 * 0.022543497))) * (0.25194672 + x4)) - -0.6041542"
22,0.18960886,"(((x3 * 0.063201986) + (x4 * 3.0405262)) / (cube((x2 + 0.12387681) * 3.487505) + (x0 + (x4 * 0.02746543)))) - -0.6317982"
23,0.18210903,"((cube(x3 * 0.063201986) + (x4 * 3.0405262)) / (cube((x2 + 0.12387681) * 3.487505) + (x0 + (x4 * 0.02746543)))) - -0.6317982"
24,0.17515217,"(((x4 * 2.902288) + ((x3 / x4) * 0.039605305)) / (cube((x2 + 0.12591198) * 3.4221137) + (x0 + (x4 * 0.02588235)))) - -0.63282746"
26,0.17183512,"(((x4 * 3.0616565) + (((x3 / x4) * 0.053485535) + 0.17143847)) / (cube((x2 + 0.1280738) * 3.4798517) + (x0 + (x4 * 0.026518878)))) - -0.59940636"
28,0.17024751,"(((((0.7851482 - x2) * ((x1 + 0.029509313) * x3)) + x4) * 2.902288) / (cube((x2 + 0.12591198) * 3.4221137) + (x0 + (x4 * 0.02588235)))) - -0.63282746"
30,0.15879373,"(((x4 + 0.13236627) - (((x2 - 0.8017628) * (x1 + 0.029387133)) * x3)) * (2.8082635 / ((x0 + cube((x2 + 0.13236627) * 3.3821177)) + (x4 * 0.023319567)))) - -0.6169401"
