Complexity,Loss,Equation
1,0.3173959,"-0.015372861"
3,0.22432388,"x1 * 0.25975287"
5,0.21466006,"(x1 + x0) / 5.1733713"
7,0.19404593,"((x2 * x1) + x0) * 0.117448576"
9,0.18922248,"((-0.36478665 / x2) + 0.38995925) * (x0 + x1)"
11,0.17267981,"((-0.23118539 / x2) + 0.24704936) * ((x1 * 2.1303375) + x0)"
13,0.1726073,"((-0.23129119 / x2) + 0.24710149) * ((x0 + -0.022979926) + (x1 * 2.1302724))"
15,0.16943276,"((x1 + x1) + x0) * ((-0.39478886 / x2) + (1.9865763 / (x2 + 3.7344122)))"
17,0.16930968,"(((x1 + x1) + x0) + -0.018212376) * ((-0.3947885 / x2) + (1.9865763 / (x2 + 3.7344127)))"
19,0.16923384,"(((x1 + -0.018037314) + x1) + (x0 * 0.9432409)) * ((2.005657 / (x2 + 3.717674)) + (-0.4000829 / x2))"
21,0.16901132,"((-1.0219331 / x2) + 1.0764495) * ((x1 + ((x1 * 1.5637996) + x0)) / ((x1 * (x1 * 0.26871064)) + 3.9205961))"
23,0.16891594,"(((((x1 * 1.5705934) + x1) + x0) / (((x1 * 0.27096638) * x1) + 3.9184628)) - 0.005969808) * ((-1.0229143 / x2) + 1.0764068)"
25,0.16889276,"((((x1 * 1.5654151) + (x1 + x0)) / ((x1 * (x1 * 0.270665)) + 3.918372)) - 0.0058980216) * ((-1.0241102 / (x2 + -0.0026576258)) + 1.0776428)"
