Complexity,Loss,Equation
1,0.7767206,"0.00218187"
3,0.23711608,"x1 / -1.6311152"
5,0.10090704,"(x1 / x2) - x1"
7,0.061999213,"((1.2804255 / x2) + -1.2951523) * x1"
9,0.05359779,"((x0 * -0.18729842) + (x1 / x2)) - x1"
11,0.0027236573,"((1.2695322 / x2) + -1.2823337) * (x1 + (x0 * 0.30048314))"
13,0.0027028923,"((x1 - (x0 * -0.30049264)) * ((1.2694557 / x2) + -1.2823128)) + 0.004557015"
15,0.0027004972,"(((x1 + 0.0007288714) - (x0 * -0.30050808)) * ((1.269546 / x2) + -1.2823576)) + 0.00456246"
17,0.002695462,"(((1.2695532 / x2) + -1.2823542) * (x1 + ((x0 + 0.0038365) * 0.30051178))) - (x2 * -0.0030984408)"
19,0.0022468849,"(-1.2826943 + (1.269861 / x2)) * ((x1 - x0) + (1.3007025 * (x0 + (-0.0005923001 / (x0 + -1.0584445)))))"
21,0.0021733323,"(((x1 - x0) + (x0 * 1.3007025)) - (0.0003173719 / ((x0 + -1.0584317) / x1))) * ((1.269861 / x2) + -1.2826946)"
23,0.0021629736,"(((1.269861 / x2) + -1.2826945) * (((x1 - x0) + (1.3007025 * x0)) - (0.00034419843 / ((x0 + -1.0584383) / x1)))) - -0.005217812"
25,0.0021572625,"((-1.2826945 + (1.269861 / x2)) * (((x1 - x0) + (1.3007025 * x0)) - (0.00034419843 / ((x0 + -1.0584383) / (-0.34273037 + x1))))) - -0.005217812"
27,0.0021540914,"(((1.269861 / x2) + -1.2826945) * (((x0 * 1.3007025) - (0.00034419843 / ((x0 + -1.0584383) / (x1 - (x0 + -0.7686913))))) + (x1 - x0))) - -0.004011534"
