Complexity,Loss,Equation
1,0.31825817,"-0.0013456664"
3,0.22520354,"x1 * 0.25418425"
5,0.21747124,"(x0 + x1) * 0.18836573"
7,0.19886729,"((x1 * x2) + x0) * 0.110973865"
9,0.19572678,"(x0 + x1) * ((-0.4592291 / x2) + 0.4493735)"
11,0.17620711,"((-0.47739935 / x2) + 0.5083152) * (x1 + (x0 * 0.46879187))"
13,0.1761379,"(((x0 * 0.469098) + 0.015756292) + x1) * ((-0.4769356 / x2) + 0.50802076)"
15,0.17070079,"(((x1 * 2.117984) + x0) * (x2 - 0.952942)) * ((0.37692925 / x2) + -0.05148873)"
17,0.17065017,"(((0.37607053 / x2) + -0.051333554) * (x2 - 0.95276177)) * (x0 + ((x1 * 2.1222758) + 0.019009003))"
19,0.17064981,"(((x2 - 0.9527102) * ((0.37599808 / x2) + -0.05130647)) * (((x1 * 2.1221528) + 0.01895386) + x0)) + 0.00060951646"
21,0.17049308,"((x2 - 0.9483827) * (x1 + (((0.029886948 / x2) + 0.45013243) * x0))) * (((0.46512166 / x2) + -0.06225316) * 1.6945356)"
23,0.16992056,"((x0 + (((x0 * x0) * 0.089518055) * x1)) + (x1 + x1)) * ((x2 - 0.9527495) * ((0.39361212 / x2) + -0.058629613))"
25,0.16986895,"((0.3932956 / x2) + -0.058526196) * (((((x1 * x0) * (x0 * 0.089319944)) + 0.018463675) + (x1 + (x0 + x1))) * (x2 - 0.952479))"
27,0.16977637,"((0.38721445 / x2) + -0.05713273) * ((x2 - 0.9488858) * (x0 + (x1 + ((((x1 * (x0 * 0.09301995)) + (0.04670599 / x2)) * x0) + x1))))"
29,0.16974495,"((0.39327106 / x2) + -0.058541317) * (((((-0.017253006 / (x0 / -0.0419627)) + (x1 * (x0 * (x0 * 0.08942532)))) + x1) + (x0 + x1)) * (x2 - 0.9522113))"
