Complexity,Loss,Equation
1,0.00018321087,"-0.00021234433"
3,7.044219e-5,"x0 * -0.009107553"
5,4.4667606e-5,"x0 * (x2 * -0.004208389)"
7,2.9442906e-5,"(x0 - (x0 / x2)) * -0.019714076"
9,2.9428256e-5,"x0 * (((1.0103709 - x2) * 0.019836571) / x2)"
11,2.9389865e-5,"((((1.0101929 - x2) * x0) * 0.01983353) + -0.0001040379) / x2"
13,1.5690783e-5,"(x0 * 0.027540537) * ((0.9775557 - x2) / ((x1 * x1) + x2))"
15,1.33641215e-5,"(x0 / x2) * ((x1 * (x1 * 0.005675383)) + (0.023507163 - (x2 * 0.024839452)))"
17,6.7253814e-6,"(x0 / x2) * ((((x1 + x0) * (x1 * 0.0039355992)) + 0.022448998) - (x2 * 0.023302093))"
19,4.396426e-6,"(((0.9464649 - x2) * 0.024850613) + (((x1 * 0.005690992) - (x0 * -0.0030375016)) * x1)) * (x0 / x2)"
21,4.2192755e-6,"(((((x1 * -0.0030822693) * (x0 + (x1 * 1.8989624))) + -0.024586525) - (x2 * -0.02564887)) * x0) / (-0.04115058 - x2)"
23,4.1800595e-6,"(((((x0 + ((x1 / x2) - (x1 * -1.5785086))) * x1) * 0.002956554) + 0.022858137) - (x2 * 0.024670383)) * (x0 / x2)"
25,4.052992e-6,"(((x1 * ((x0 + ((x1 / x2) - (x1 * -1.584557))) * 0.0030101615)) + ((0.9346244 - x2) * 0.025242737)) * x0) / (x2 - -0.026484018)"
27,3.6635727e-6,"x0 * ((((0.91844445 - x2) * 0.024619548) + ((x1 * ((x1 - (x1 * -1.8796034)) + (x0 + ((x2 * x1) * -0.32694188)))) * 0.003006139)) / x2)"
29,3.6259048e-6,"(((x1 * ((x0 + ((x1 + ((x2 * x1) * (x2 * -0.053718384))) - (x1 * -1.4179959))) * 0.0030119668)) + ((0.9240745 - x2) * 0.024699043)) * x0) / x2"
