Complexity,Loss,Equation
1,186.24925,"x2"
3,147.70915,"x0 * -5.5062623"
5,139.33382,"x0 * (x2 * -2.5189786)"
7,135.14012,"x0 * ((11.091352 / x2) + -11.4438715)"
9,131.67137,"x0 * (((11.095716 / x2) + -11.442275) + x0)"
11,130.4676,"(x0 * (x0 + ((11.065304 / x2) + -11.421337))) - x1"
13,130.19853,"(x0 * (((x0 / 1.2716098) + (11.069057 / x2)) + -11.424456)) - x1"
15,129.84236,"((x0 / -0.120112315) + ((x0 * x0) - x1)) * ((-1.3256135 / x2) + 1.3699017)"
17,129.6697,"((((x0 * x0) * 0.6364824) - x1) + (x0 / -0.1730252)) * ((-1.9078236 / x2) + 1.9725382)"
19,129.54587,"(((-1.9005786 / x2) + 1.9514433) * ((x0 / -0.17053276) + (((x0 * 0.59326464) * x0) - x1))) + 0.38304222"
21,129.48097,"(x2 * 0.3441978) + (((-1.9070768 / x2) + 1.9655236) * ((x0 / -0.17203432) + (((x0 * x0) * 0.5165077) - x1)))"
23,129.43614,"(x2 * 0.3430068) + (((-1.6120237 / x2) + 1.6632168) * ((((x0 - (x0 / x2)) * x0) + (x0 / -0.14564337)) - x1))"
25,129.35605,"(((-1.7428888 / x2) + 1.7987921) * (((x0 * (x0 - ((x0 / x2) * 1.6890556))) + (x0 / -0.15747593)) - x1)) + (x2 + -0.7446649)"
27,129.33722,"((((x0 * (x0 - ((x0 * 1.5684264) / x2))) + (((x0 / -0.17095812) - x1) * 1.2383399)) * ((-1.5280191 / x2) + 1.5771427)) + -0.73769945) + x2"
29,129.33054,"(((-1.5580488 / x2) + 1.6083759) * (((x0 - ((x0 * 1.4683586) / x2)) * x0) + (((x0 / -0.17120197) - x1) * 1.2161471))) + ((x2 + -0.665961) * 0.84016603)"
