"Step","Train-r1-l1 - train_loss","Train-r1-l1 - train_loss__MIN","Train-r1-l1 - train_loss__MAX","Train-r1-bottleneck - train_loss","Train-r1-bottleneck - train_loss__MIN","Train-r1-bottleneck - train_loss__MAX","Train-r1-standard - train_loss","Train-r1-standard - train_loss__MIN","Train-r1-standard - train_loss__MAX","Train-charge-l1 - train_loss","Train-charge-l1 - train_loss__MIN","Train-charge-l1 - train_loss__MAX","Train-charge-bottleneck - train_loss","Train-charge-bottleneck - train_loss__MIN","Train-charge-bottleneck - train_loss__MAX","Train-charge-standard - train_loss","Train-charge-standard - train_loss__MIN","Train-charge-standard - train_loss__MAX","Train-spring-l1 - train_loss","Train-spring-l1 - train_loss__MIN","Train-spring-l1 - train_loss__MAX","Train-spring-bottleneck - train_loss","Train-spring-bottleneck - train_loss__MIN","Train-spring-bottleneck - train_loss__MAX","Train-spring-standard - train_loss","Train-spring-standard - train_loss__MIN","Train-spring-standard - train_loss__MAX","Train-r2-l1 - train_loss","Train-r2-l1 - train_loss__MIN","Train-r2-l1 - train_loss__MAX","Train-r2-bottleneck - train_loss","Train-r2-bottleneck - train_loss__MIN","Train-r2-bottleneck - train_loss__MAX","Train-r2-standard - train_loss","Train-r2-standard - train_loss__MIN","Train-r2-standard - train_loss__MAX"
"0","17.711968079902316","17.711968079902316","17.711968079902316","9.78427212558129","9.78427212558129","9.78427212558129","10.800267848354911","10.800267848354911","10.800267848354911","78.9110446011657","78.9110446011657","78.9110446011657","73.62036203245567","73.62036203245567","73.62036203245567","69.93286269524265","69.93286269524265","69.93286269524265","11.213178410689999","11.213178410689999","11.213178410689999","9.446767111546412","9.446767111546412","9.446767111546412","8.274900590491505","8.274900590491505","8.274900590491505","168.72631062418844","168.72631062418844","168.72631062418844","156.03685235558075","156.03685235558075","156.03685235558075","150.42190657598653","150.42190657598653","150.42190657598653"
"1","7.498117707880175","7.498117707880175","7.498117707880175","5.411694225602533","5.411694225602533","5.411694225602533","6.274223848306357","6.274223848306357","6.274223848306357","71.4062564903604","71.4062564903604","71.4062564903604","64.15628209800909","64.15628209800909","64.15628209800909","59.20113586225916","59.20113586225916","59.20113586225916","5.113282206359806","5.113282206359806","5.113282206359806","4.033806182833822","4.033806182833822","4.033806182833822","3.7365822857257722","3.7365822857257722","3.7365822857257722","137.08090321258206","137.08090321258206","137.08090321258206","138.2631928044096","138.2631928044096","138.2631928044096","134.31082988434332","134.31082988434332","134.31082988434332"
"2","6.645768417373372","6.645768417373372","6.645768417373372","4.570435629036252","4.570435629036252","4.570435629036252","5.543809653966233","5.543809653966233","5.543809653966233","58.79958671463137","58.79958671463137","58.79958671463137","60.194363083710435","60.194363083710435","60.194363083710435","56.31591099211254","56.31591099211254","56.31591099211254","3.66010449812349","3.66010449812349","3.66010449812349","2.9011702958975385","2.9011702958975385","2.9011702958975385","2.941197255628387","2.941197255628387","2.941197255628387","130.82608736886823","130.82608736886823","130.82608736886823","131.3671466330333","131.3671466330333","131.3671466330333","134.06439716517494","134.06439716517494","134.06439716517494"
"3","5.939681268763711","5.939681268763711","5.939681268763711","4.028833374008505","4.028833374008505","4.028833374008505","4.866013576221686","4.866013576221686","4.866013576221686","56.5708581415172","56.5708581415172","56.5708581415172","56.31650942707949","56.31650942707949","56.31650942707949","54.412245845924886","54.412245845924886","54.412245845924886","2.5581552830864642","2.5581552830864642","2.5581552830864642","2.308250384964891","2.308250384964891","2.308250384964891","2.322236321873506","2.322236321873506","2.322236321873506","128.4737413769564","128.4737413769564","128.4737413769564","125.87847712898694","125.87847712898694","125.87847712898694","125.76745571013105","125.76745571013105","125.76745571013105"
"4","5.338789721735204","5.338789721735204","5.338789721735204","3.6069352306474527","3.6069352306474527","3.6069352306474527","4.3380092294694865","4.3380092294694865","4.3380092294694865","53.727773362779104","53.727773362779104","53.727773362779104","52.106726481204696","52.106726481204696","52.106726481204696","52.46940785130194","52.46940785130194","52.46940785130194","1.965273942330132","1.965273942330132","1.965273942330132","1.8427776793732111","1.8427776793732111","1.8427776793732111","1.7939497220230363","1.7939497220230363","1.7939497220230363","123.99561739793887","123.99561739793887","123.99561739793887","118.17341972404458","118.17341972404458","118.17341972404458","118.20265559733488","118.20265559733488","118.20265559733488"
"5","4.702516772232524","4.702516772232524","4.702516772232524","3.280691574764024","3.280691574764024","3.280691574764024","4.089678155973061","4.089678155973061","4.089678155973061","52.07507422584978","52.07507422584978","52.07507422584978","50.00051769240642","50.00051769240642","50.00051769240642","50.635446600727235","50.635446600727235","50.635446600727235","1.79528913544514","1.79528913544514","1.79528913544514","1.490528126271148","1.490528126271148","1.490528126271148","1.4939803804428833","1.4939803804428833","1.4939803804428833","120.76563843717265","120.76563843717265","120.76563843717265","111.00905579610819","111.00905579610819","111.00905579610819","112.68078442752662","112.68078442752662","112.68078442752662"
"6","4.269261634932696","4.269261634932696","4.269261634932696","3.1007328897890085","3.1007328897890085","3.1007328897890085","3.760186250888912","3.760186250888912","3.760186250888912","51.19957822880166","51.19957822880166","51.19957822880166","49.10530606529922","49.10530606529922","49.10530606529922","50.00193267841471","50.00193267841471","50.00193267841471","1.7356008021322287","1.7356008021322287","1.7356008021322287","1.2998953762594796","1.2998953762594796","1.2998953762594796","1.3264810137602643","1.3264810137602643","1.3264810137602643","117.82868362065112","117.82868362065112","117.82868362065112","105.74567552226854","105.74567552226854","105.74567552226854","109.16774343351769","109.16774343351769","109.16774343351769"
"7","3.923746734554933","3.923746734554933","3.923746734554933","3.0085627066874445","3.0085627066874445","3.0085627066874445","3.5896831483694056","3.5896831483694056","3.5896831483694056","50.28000437823749","50.28000437823749","50.28000437823749","49.11307062941186","49.11307062941186","49.11307062941186","49.61736750958753","49.61736750958753","49.61736750958753","1.6805607362232555","1.6805607362232555","1.6805607362232555","1.177489082264365","1.177489082264365","1.177489082264365","1.219892899929455","1.219892899929455","1.219892899929455","114.69561933268763","114.69561933268763","114.69561933268763","106.12863225946656","106.12863225946656","106.12863225946656","107.96277380229691","107.96277380229691","107.96277380229691"
"8","3.7075967037267823","3.7075967037267823","3.7075967037267823","2.9592018524975243","2.9592018524975243","2.9592018524975243","3.2766031685090327","3.2766031685090327","3.2766031685090327","49.02951487547627","49.02951487547627","49.02951487547627","48.06761614577906","48.06761614577906","48.06761614577906","48.76696656116275","48.76696656116275","48.76696656116275","1.6043788305127649","1.6043788305127649","1.6043788305127649","1.0808688728808746","1.0808688728808746","1.0808688728808746","1.1205964874352536","1.1205964874352536","1.1205964874352536","113.18935117535202","113.18935117535202","113.18935117535202","103.62288961036995","103.62288961036995","103.62288961036995","104.72859229780279","104.72859229780279","104.72859229780279"
"9","3.6653216344136936","3.6653216344136936","3.6653216344136936","2.8249862565732022","2.8249862565732022","2.8249862565732022","3.135407083402143","3.135407083402143","3.135407083402143","48.41793466240933","48.41793466240933","48.41793466240933","47.052529958767614","47.052529958767614","47.052529958767614","48.011605326536724","48.011605326536724","48.011605326536724","1.5120331030807883","1.5120331030807883","1.5120331030807883","0.98392557207508","0.98392557207508","0.98392557207508","1.0075302610234378","1.0075302610234378","1.0075302610234378","109.01393633342886","109.01393633342886","109.01393633342886","100.18435901482262","100.18435901482262","100.18435901482262","103.7726543059334","103.7726543059334","103.7726543059334"
